Nome: JUAZEIRO (MANDACARU)
Codigo Estacao: V002
Latitude: -0.2033333
Longitude: -0.20333332
Altitude: 72.72
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-07-31
Periodicidade da Medicao: Diaria

Dia;Ta (max)(ÂºC);Ta (med)(ÂºC);Ta (min)(ÂºC);Ur (max)(%);Ur (med)(%);Ur (min)(%);Rg (MJ-m²);Vv (m-s);ETo (mm);Prec (mm)
2023-12-20;29.46;23.1;21.22;98.5;95.2;68.16;9.63;0.81;2.23;31.75
2023-12-19;36.23;28.17;21.58;97.8;97.8;32.99;24.95;0.85;5.02;28.7
2023-12-18;33.29;26.82;21.59;81.4;71.2;38.55;22.55;1.28;4.82;0
2023-12-17;32.53;27.1;23.2;81.4;61.54;42.71;16.86;2.37;4.81;0
2023-12-16;35.13;28.5;22.45;79;67.58;36.27;24.03;2.5;6.23;0
2023-12-15;30.46;26.76;23;79.7;67.19;55.55;17.26;2.85;4.58;0
2023-12-14;35.81;28.28;20.44;79.4;64.22;33.84;27.84;3.33;7.39;0
2023-12-13;35.91;29.19;22.73;75.3;58.99;32.64;27.65;3.31;7.52;0
2023-12-12;35.75;29.35;22.96;74.1;61.39;34.33;27.49;2.76;7.03;0
2023-12-11;35.14;28.18;22.69;74.2;64.49;33.47;24.83;2;6.01;0
2023-12-10;35.17;29.14;23.2;77.4;59.01;30.02;27.88;2.34;6.71;0
2023-12-09;36.35;29.37;23.25;83.3;63.97;37.44;24.94;1.22;5.43;0
2023-12-08;35.24;28.92;22.89;82.4;65.34;37.09;26.67;2.08;6.21;0
2023-12-07;33.5;27.18;20.6;85;74.9;40.07;20.66;1.85;4.97;0
2023-12-06;35.11;27.88;19.9;85.9;63.09;34.26;25.69;3.1;6.77;0
2023-12-05;35.08;28.25;22.33;90.1;64.02;40.38;21.43;1.51;4.98;0
2023-12-04;33.92;27.52;23.57;85.4;85.4;46.43;19.07;1.14;4.31;0
2023-12-03;36.52;29.16;22.69;85;52.71;28.69;25.79;1.23;5.55;0
2023-12-02;36.35;27.86;19.97;89.9;61.12;30.33;26.92;0.77;5.1;0
2023-12-01;36.24;28.16;21.34;88.2;57.25;24.48;27.36;1.19;5.62;0
2023-11-30;36.14;27.34;19.28;81.8;57.84;23.74;28.15;1.44;5.78;0
2023-11-29;36.33;27.95;20.46;84.6;49.26;22.24;27.11;1.86;6.19;0
2023-11-28;34.6;28.17;24.02;87.8;60.91;34.94;20.52;1.93;5.21;0
2023-11-27;35.02;27.83;20.7;84.4;68.52;30.27;27.83;2.22;6.35;0
2023-11-26;35.4;27.63;20.7;82.3;55.42;26.55;28;2.39;6.64;0
2023-11-25;37.23;29.48;19.69;87;51.12;26.63;27.2;2.16;6.56;0
2023-11-24;37.28;28.74;21.17;81.3;44.35;24.16;27.44;0.94;5.3;0
2023-11-23;35.99;28.83;23.13;78.5;61.86;34.86;3.93;1.64;3.12;0
2023-11-22;35.07;28.67;22.76;81.5;70.7;35.33;23.62;1.53;5.31;0
2023-11-21;32.45;27.45;22.87;91.4;76.1;51.77;20.71;1.67;4.54;0
2023-11-20;35.76;28.68;22.7;84;64.61;35.48;22.97;0.59;4.42;0
2023-11-19;37.44;29.96;24.68;79.4;61.43;36.47;26.25;0.84;5.33;0
2023-11-18;36.5;29.53;24.17;83.2;63.78;36.97;25.36;1;5.26;0
2023-11-17;36.64;29.3;23.13;84.2;58.76;37.74;26.35;1.01;5.37;0
2023-11-16;36.64;29.07;22.56;87.3;63.77;38.43;24.54;1.22;5.28;0
2023-11-15;34.34;27.37;22.05;87.9;71.7;41.9;19.25;1.37;4.45;0
2023-11-14;36.26;27.65;20.58;84.1;55.36;27.54;26.85;1.25;5.49;0
2023-11-13;36.88;27.82;19.85;87.6;50.62;20.7;27.95;0.94;5.26;0
2023-11-12;34.5;26.64;19.43;88.6;72.1;29.06;26.41;1.55;5.5;0
2023-11-11;34.61;27.35;19.98;86.9;61.32;27.25;27.65;2.07;6.15;0
2023-11-10;35.65;27.73;21.38;82.2;64.27;25.97;27.19;2.05;6.3;0
2023-11-09;33.93;27.25;22.01;88.9;63.53;42.89;22.18;2.96;5.76;0
2023-11-08;31.96;26.12;21.11;96.6;82.5;51.45;21.04;3.54;5.16;0
2023-11-07;33.2;27.61;23.86;81;81;46.81;20.02;3.72;5.86;0
2023-11-06;34.29;29.06;24.86;92.2;61.02;44.02;19.46;2.17;5;0
2023-11-05;37.3;29.92;23.62;95.9;92.4;39.48;26.25;0.42;4.99;6.6
2023-11-04;34.7;27.94;23.42;96.8;95.9;47.71;20.96;0.53;4.15;0
2023-11-03;31.54;25.38;21.41;99.4;95.8;60.43;17.97;0.5;3.45;14.99
2023-11-02;36.59;29.77;23.55;94.1;93.4;38.69;23.68;0.98;4.99;3.05
2023-11-01;36.89;29.78;23.94;75.5;56.54;36.67;25.86;1.1;5.42;0
2023-10-31;37;28.74;21.82;79.2;49.18;26.49;26.93;1.2;5.75;0
2023-10-30;36.22;27.61;21.47;78.6;52.23;21.01;27.9;2.2;6.88;0
2023-10-29;35.53;27.69;21.5;78.9;57.92;29.25;26.44;2.74;6.96;0
2023-10-28;37.48;30.09;23.87;79;66.28;22.74;27.39;3.28;8.09;0
2023-10-27;38.32;30.75;22.23;77;62.8;30.71;26.76;1.45;6.15;0
2023-10-26;38.56;30.12;21.85;75.1;48.26;26.13;26.72;0.69;5.21;0
2023-10-25;37.85;28.61;21.03;79.4;73.3;29.32;26.53;0.55;4.98;0
2023-10-24;35.35;27.62;21.63;79.7;61.73;35.04;26.7;1.93;6.17;0
2023-10-23;35.27;28.31;22.42;78.1;59.68;33.38;24.61;2.69;6.59;0
2023-10-22;35.62;28.1;21.62;81.1;70.8;26.54;25.9;2.98;7.15;0
2023-10-21;35.21;27.72;21.47;81.7;67.14;31.65;25.3;2.59;6.56;0
2023-10-20;35.31;27.86;20.9;81.4;60.34;28.36;27.9;3.14;7.37;0
2023-10-19;35.01;26.54;19.1;84.9;51.41;24;27.22;1.99;6.28;0
2023-10-18;34.33;25.89;16.97;88.3;54.59;25.69;28.31;1.89;6.12;0
2023-10-17;33.95;26.36;19.01;85.9;57.36;29.57;25.87;2.96;6.67;0
2023-10-16;33.47;26.75;19.86;81.9;59.72;32.56;27.26;3.04;6.76;0
2023-10-15;34.06;27.89;23.59;72.8;64.86;37.86;22.67;3.66;6.85;0
2023-10-14;35.02;28.42;22.79;84.1;68.1;32.55;25.93;2.8;6.73;0
2023-10-13;36.42;28.4;20.54;89.9;56.15;32.39;23.49;1.5;5.45;0
2023-10-12;34.66;26.49;21.14;83.7;62.52;33.54;24.99;1.73;5.67;0
2023-10-11;34.82;27.42;20.54;81.8;63.72;31.17;25.61;2.82;6.68;0
2023-10-10;35.49;28.26;20.9;85.2;60.55;30.12;26.99;2.42;6.61;0
2023-10-09;35.6;27.92;21.21;86.5;60.27;31.17;21.32;1.78;5.38;0
2023-10-08;35.25;28.13;23.39;82.9;64.08;36.3;22.58;2;5.68;0
2023-10-07;35.9;28.03;21.11;85.8;75.6;34.1;25.46;2.7;6.62;6.1
2023-10-06;35.69;28.49;21.91;84.5;68.18;31.33;26.23;2.36;6.5;0
2023-10-05;36.92;28.89;21.89;82.2;55.83;29.51;25.02;2.07;6.31;0
2023-10-04;36.81;28.81;22.08;83.7;55.27;26.84;25.62;1.96;6.3;0
2023-10-03;36.98;28.32;20.56;84.2;46.62;24.74;26.12;1.66;6.04;0
2023-10-02;36.82;27.94;20.9;83.6;46.41;25.87;26.63;1.59;6;0
