Nome: PETROLINA (BEBEDOURO)
Codigo Estacao: V001
Latitude: -0.38833333
Longitude: -0.52333332
Altitude: 72.72
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-07-31
Periodicidade da Medicao: Diaria

Dia;Ta (max)(ÂºC);Ta (med)(ÂºC);Ta (min)(ÂºC);Ur (max)(%);Ur (med)(%);Ur (min)(%);Rg (MJ-m²);Vv (m-s);ETo (mm);Prec (mm)
2023-03-20;31.62;24.57;20.99;97.2;85.4;53.22;15.85;0.74;3.41;9.1
2023-03-19;34.09;26.13;21.32;93.2;72.66;42.28;18.31;1.33;4.42;0.6
2023-03-18;29.45;25.55;21.59;84.7;69.01;54.29;9.65;0.76;2.49;0
2023-03-17;34.17;27.79;22.52;87.7;61.49;38.81;23.32;1.22;5.15;0
2023-03-16;33.83;26.14;20.1;97.6;69.98;41.21;22.42;0.73;4.53;0
2023-03-15;30.34;25.01;20.04;96.7;79.94;56.94;13.32;1.34;3.2;0.4
2023-03-14;31.37;26.31;23.24;94.3;75.92;54.35;12.01;1.42;3.23;1
2023-03-13;34.66;28.24;23.55;77.97;60.16;38.54;20.16;2.05;5.52;0
2023-03-12;35.45;28.64;22.53;74.62;57.08;36.32;19.88;1.64;5.26;0
2023-03-11;34.47;27.39;22.55;80.5;62.28;37.91;13.96;1.24;3.96;0
2023-03-10;34.58;27.99;23.1;76.87;57.68;37.22;19.85;1.8;5.3;0
2023-03-09;36.23;29.41;22.33;83.7;53.63;31.47;23.16;2.42;6.48;0
2023-03-08;36.71;28.93;21.8;81.9;51.53;25.6;24.64;1.85;6.32;0
2023-03-07;37.13;29.52;22.36;82.6;52.3;26.42;23.29;2.15;6.51;0
2023-03-06;37.65;30.4;23.79;80.5;52.7;29.13;21.82;1.48;5.69;0
2023-03-05;37.35;29.14;22.73;82.1;54.9;31.45;24.2;1.6;6.06;0
2023-03-04;36.2;28.72;23.45;77.44;56.06;33.84;23.65;2.07;6.29;0
2023-03-03;36.57;29.55;23.32;83.8;55.54;30.69;20.35;2.21;6.03;0
2023-03-02;36.65;29.04;22.99;84.4;56.71;32.47;18.99;2.15;5.76;0
